time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-0.0118179615923,0.00914465834676,0.0188219466682,0.451907402966,0.448995563875,0.0,-0.642749953507,0.464821840411,0.436146642422,-10.8185852414,-10.8177743842,0.0,899.987955893,-0.000873557904318,900.022641216,0.0090477518867
0.12000000000000001,-0.050679038651,0.0381605396015,0.0557832242999,5.40518164639,5.40132228451,0.0,-0.634644508273,0.262287333642,0.811601257118,-19.279758975,-19.2786029528,0.0,899.994979627,0.00750139471453,900.023582305,0.0157943263999
0.18,-0.0854994585675,0.048118190324,0.103571049805,2.2664013673,2.26282421423,0.0,-1.09129091404,0.152371530083,0.669210190557,-24.3550614598,-24.3540372338,0.0,899.987240775,-0.0134992693598,900.007552179,0.0146311810299
0.23999999999999996,-0.184113159395,0.0358595606192,0.144646453124,1.85465726538,1.85123908233,0.0,-2.21194682699,-0.55255425771,0.671598427571,-26.8805572547,-26.8796513589,0.0,899.981989294,0.010226347368,900.004168951,0.00793586429439
0.3,-0.358188116503,0.000543743495562,0.171034880679,0.439368705761,0.435920678389,0.0,-3.54415934451,-0.388232927763,0.289996627031,-28.0122908081,-28.0111609607,0.0,899.975548796,0.00187074700735,900.014130729,0.00737671217767
0.36000000000000004,-0.577062595028,-0.0172423969222,0.20813034853,5.07118790436,5.06780349182,0.0,-3.4186714049,-0.485171319517,0.888015625222,-28.4943370575,-28.4931793039,0.0,899.973783703,-0.00118421194613,900.009786139,0.000140484840129
0.4200000000000001,-0.742299437821,-0.0488651799626,0.24967933381,3.36383602688,3.36053326066,0.0,-2.15795074743,-0.302470334124,0.616202269543,-28.6951640256,-28.694265993,0.0,899.986987901,-0.00175797423668,900.009101285,-0.00184256150172
0.48000000000000015,-0.875246195483,-0.0687725404274,0.306708559693,1.64135730819,1.63810825145,0.0,-2.60262803119,-0.584560151028,1.09183597829,-28.7781913031,-28.7772598277,0.0,899.986698287,-7.08978244986e-05,900.016396041,-0.00641553770788
0.5400000000000001,-1.07025324278,-0.0973619751699,0.361839523423,6.19724003989,6.19404398004,0.0,-3.73091868206,-0.213704229993,0.99401287857,-28.812382673,-28.8116964789,0.0,900.00332415,0.00222058303426,900.019383234,0.00162098330598
0.6000000000000002,-1.27889625185,-0.120859265717,0.437614340753,4.46818762733,4.46504238326,0.0,-2.94676230993,-0.640434314083,1.24313807529,-28.8268785172,-28.8256816776,0.0,899.995378338,0.0114281679887,900.043792376,0.000535371863082
0.6600000000000003,-1.42171712988,-0.145500521159,0.508411840567,2.73844413607,2.73536771468,0.0,-2.06674043491,-0.201629918882,1.41304731093,-28.8325900502,-28.831529888,0.0,900.001273239,-0.00919844626438,900.031389174,0.00263906067697
0.7200000000000003,-1.57202151533,-0.172989551875,0.60043382343,1.00842795944,1.00541762003,0.0,-3.13677774997,-0.602332794287,1.38295994876,-28.8351818816,-28.834014296,0.0,900.005828731,-0.0178368681934,900.044596888,-0.00747104122388
0.7800000000000004,-1.78595093356,-0.193554329422,0.68928244233,5.56147951802,5.55854230858,0.0,-3.68072469367,-0.273630528817,1.80492746038,-28.8361439637,-28.8348460352,0.0,899.995937723,-0.0268470868193,900.039273487,-0.0217303202686
0.8400000000000004,-1.97255555843,-0.224482795402,0.795129005453,3.83130666285,3.82844372607,0.0,-2.44605184249,-0.502806305242,1.56742153939,-28.8363206119,-28.8351739702,0.0,899.995244759,-0.0270944352196,900.027751557,-0.0341762462053
0.9000000000000005,-2.10428210278,-0.24299517276,0.904134057186,2.10113329594,2.09833198461,0.0,-2.29562449624,-0.401423149128,2.13005404533,-28.8360755117,-28.8352285092,0.0,899.991017145,-0.0370921778456,900.010953737,-0.0241997370535
0.9600000000000005,-2.28101774812,-0.274509447929,1.02217669286,0.370974071078,0.368214809926,0.0,-3.57802297152,-0.359734452521,1.83217721682,-28.835853922,-28.8353735753,0.0,899.997507796,-0.0139886426283,900.004547192,-0.00899958211854
1.0200000000000005,-2.49831504889,-0.293409613118,1.1517077849,4.9240116764,4.92127497957,0.0,-3.32243321292,-0.54190122618,2.372369919,-28.8357062721,-28.8354875799,0.0,900.00039232,-0.0160501169823,900.001542789,-0.0227016845804
1.0800000000000005,-2.65795567446,-0.323686424181,1.28228483439,3.19386180594,3.19114493217,0.0,-2.11836371057,-0.247010672002,2.17871918971,-28.8360204925,-28.8355207439,0.0,899.999674499,-0.0354133324786,900.02136798,-0.0215662645101
1.1400000000000006,-2.79524404545,-0.345358176039,1.43116560223,1.46370285773,1.46101068202,0.0,-2.76072399749,-0.619912592646,2.5293125572,-28.8359251271,-28.8356465867,0.0,900.005612165,-0.026879078101,900.009507518,-0.0155588154352
1.2000000000000006,-2.99730342906,-0.371601425417,1.57579279947,6.0167340486,6.01406186568,0.0,-3.75521471481,-0.197262161933,2.57421433798,-28.835866951,-28.8354514428,0.0,899.99255871,-0.00673948703973,900.008498247,0.00288261705506
1.2600000000000007,-3.20109112991,-0.397701562729,1.74181057913,4.2865778395,4.28393900516,0.0,-2.80348318716,-0.637686196088,2.66257849456,-28.8360425382,-28.8352748898,0.0,899.987451428,-0.00513670003807,900.019048872,0.0174617259591
1.3200000000000007,-3.33946824031,-0.420236608334,1.90298365838,2.55640683328,2.55382480656,0.0,-2.10377905953,-0.237908845028,2.97687843487,-28.8363971065,-28.8351789622,0.0,899.986206192,0.00079958299414,900.033997357,0.0198337120486
